company,symbol,name_glassdoor,review_id,review_rating_all,review_rating_worklife,review_rating_culture,review_rating_career,review_rating_diversity,review_rating_comp,review_rating_senior,employee_info,review_title,review_info,pros,cons,advice,total_reviews,url
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63361242,2,3,2,1,2,2,1,Current Employee,Mediocre at very best,"Apr 27, 2022 - Business Systems Analyst V ","For many, learning to not loose sleep about a project is as easy as the company not loosing sleep over you.","Despite any hype, most employees have very few opportunities for financial or job growth.","At least treat employees as you would want your own children treated, and for many leaders, quite a bit better than that.",3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,59096199,3,2,3,2,5,2,2,"Former Employee, more than 10 years","The grass may not be greener, but is your health and worth?","Feb 4, 2022 - AML Compliance Analyst in Oriskany, NY","Good benefits for 401 comp match, vacation time and additional vacation week purchase, good sick pay hours, good disability coverage, good maternity coverage. They are remote right now so in that aspect they care about safety of employees.","They do not pay enough for the job they expect. They change the title of your job to fit the pay they want to give, so that they can "" claim "" we are paid well within the area for a representative but that's not the job we do it is way more. Pile on the work, no solid tools to do the job they expect for the volumes. They claim to care about your health and wellness and give superficial class offerings, but the work volumes and demands are so high there is not enough time in the day to get it all done. Not to mention newer employees get bumps up due to get to the position requirements for pay per NYS, but the loyal employees over that bump with the skills get nothing extra. Company is making money no bonuses for all that are below high level mgr.",This specific job can be done remote and is more efficient from home with volumes. Keep it remote and pay employees more for the real title of the job and then you will get people with quality experience coming to work for you.,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,59124947,2,2,2,2,3,2,1,"Former Employee, more than 10 years","Not the Company it Once Was, Sadly","Feb 4, 2022 - Marketing and Communications Lead ","Opportunities for hands-on experience at all levels (partly because they are so understaffed), often more than at similar companies.

Accountabilities expand on an ongoing basis, which can be good for one’s resume (but they won’t compensate you for it).","Revenue not growing so shareholder returns are coming largely from staff cuts, compensation cuts and benefit cuts. 

Culture has significantly degraded last few years. Policy is to rate 10 percent of employee Below Expectations and manage them out, and good managers who have built high-performing teams still have to find people to rate BE and to eliminate on a rolling basis. Think Lord of the Flies.

Bad behavior among EC tolerated to a much greater degree than it used to be or is in a good company. 

EC has become increasingly dysfunctional in recent years, with almost everyone using their jobs as stepping stones vs. building sustainable value for the company. EC member responsible for our group badmouthed most of his own people.

Long-time employees not presently valued, and most long careers there end on an ugly note.

HR poorly resourced and run. Former employees should expect to spend lots of time fighting for everything they’ve earned.",Start caring about your employees again. You still have many terrific people who are working their backsides off. Don’t throw them away like you’ve been doing. It pains me to write this review but the company I once loved has become unrecognizable.,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,61514338,4,5,3,2,5,5,5,"Current Employee, more than 1 year",Great place to work if you are fresh out of college,"Mar 21, 2022 - Tax Reporting Specialist in Syracuse, NY",The work can be tedious but it is great for someone who wants to amp their data analysis and teamwork skills in a regulated tax department. Benefits are excellent. They offer tuition reimbursement. You get to work tax season (Jan-Mid-March) and are paid overtime for working over 40 hours a week.,"Working remotely has been an adjustment, but can work well in the environment. Tech issues tend to happen on occasion and not having face to face communication with your coworkers has been a somewhat challenge. In terms of advancement, seems to be a limitation",,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63144099,5,4,5,5,4,2,4,Current Employee,Good,"Apr 22, 2022 - Data Entry ",Bank of New York Mellon best corporation.,Very like work at bank of New York Mellon.,,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,62965500,5,4,4,4,4,4,4,"Current Employee, more than 10 years",Good place to work,"Apr 19, 2022 - Senior Business Intelligence Analyst in Pittsburgh, PA","remote, flexible hours, good pay and benefits, not expected to work grueling hours and overtime",at times can become monotonous like any job,,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63410924,3,3,2,3,4,3,2,"Current Employee, more than 1 year",OK place to start,"Apr 28, 2022 - Analyst in Orlando, FL","Good benefits, good training. Has a team oriented environment, pushes people to succeed.",Asks for to much and pays to little in return.,Understand work load of each member and better delegate the work,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,62977266,4,3,4,4,4,3,4,"Current Employee, more than 1 year",Back End Developer,"Apr 19, 2022 - Java Developer in Jersey City, NJ",Many opportunities to explore and learn new skills,"Very busy, need to work on the weekends",,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,63405270,3,2,2,2,2,2,2,Former Employee,Stale Job with no growth opportunities,"Apr 28, 2022 - Fund Accountant ",Honestly I cannot think of any Pros.,"Awful hours, subpar pay, dry culture, etc.",Create more opportunities for growth and have a better culture,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
BANK OF NEW YORK MELLON CORP,BK,BANK OF NEW YORK MELLON CORP,62883382,5,5,3,4,3,3,4,Current Employee,Good team,"Apr 17, 2022 - Analyst in Chicago, IL",Hardworking people that care for one another,Bad location that doesn’t promote growth,,3,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78_P2.htm?filter.iso3Language=eng
